work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
소마전기|||강태산,소마전기,강태산,프로무림,2021-02,55,214257,4032,Y,19183,Y,29766,Y,55286,Y,9,0.3037
소설 속 악당으로 살아가는 법|||강산(江山),소설 속 악당으로 살아가는 법,강산(江山),포텐,2021-02,26,1157365,44520,Y,356232,Y,599045,Y,915405,Y,12,0.3703
소야전기|||사마달,소야전기,사마달,프로무림,2021-02,59,478467,7696,Y,18188,Y,48696,Y,121473,Y,10,0.3338
소천무쌍|||가람검,소천무쌍,가람검,프로무림,2021-02,58,2416917,80550,Y,160378,Y,326332,Y,655528,Y,7,0.2356
수라마군|||설봉,수라마군,설봉,프로무림,2021-02,32,211701,9600,Y,38400,Y,54400,Y,80200,Y,7,0.3591
수라문|||강태산,수라문,강태산,프로무림,2021-02,58,329060,642,Y,7015,Y,19094,Y,91525,Y,7,0.8306
수심|||권천,수심,권천,프로무림,2021-02,48,85885,5229,Y,7642,Y,12230,Y,23065,Y,4,0.6124
수적왕|||권용찬,수적왕,권용찬,프로무림,2021-02,29,218120,15680,Y,38080,Y,50680,Y,88725,Y,2,0.8331
숭산|||서효원,숭산,서효원,프로무림,2021-02,57,504077,21502,Y,43476,Y,87276,Y,147752,Y,9,0.5666
슈퍼스타 누구도 막을 수 없어|||구라천재,슈퍼스타 누구도 막을 수 없어,구라천재,포텐,2021-02,60,20969973,536541,Y,806142,Y,1089307,Y,2029017,Y,15,0.2049
스타 러버즈|||깃털펜,스타 러버즈,깃털펜,프로무림,2021-02,41,404429,2700,Y,49230,Y,78030,Y,175130,Y,10,0.2969
스톰 블레이드|||진현,스톰 블레이드,진현,프로무림,2021-02,54,464452,16481,Y,36177,Y,81553,Y,152946,Y,7,0.6793
스페셜 직업2|||홍정태,스페셜 직업2,홍정태,프로무림,2021-02,4,2100,350,Y,1330,Y,1330,Y,2100,Y,1,1.0
슬레이어|||정우식,슬레이어,정우식,프로무림,2021-02,28,90549,1700,Y,12200,Y,17600,Y,24800,Y,4,0.4476
시간의 틈 사라진 검|||도진,시간의 틈 사라진 검,도진,포텐,2021-02,47,354281,6720,Y,9240,Y,9240,Y,16877,Y,2,0.6682
시검서생|||가람검,시검서생,가람검,프로무림,2021-02,56,989314,11858,Y,38570,Y,103278,Y,165928,Y,7,0.3649
시스템 오류로 에이스 등극|||글상사,시스템 오류로 에이스 등극,글상사,포텐,2021-02,19,3597251,359117,Y,1458967,Y,2791226,Y,3555463,Y,13,0.2542
식사하고 가세요|||인기영,식사하고 가세요,인기영,포텐,2021-02,59,788906764,5410080,Y,23648494,Y,91314022,Y,169399755,Y,8,0.5251
신|||강태산,신,강태산,프로무림,2021-02,59,978167,20215,Y,39436,Y,133764,Y,249447,Y,10,0.4799
신기무제|||홍파,신기무제,홍파,프로무림,2021-02,56,196323,5578,Y,14264,Y,39570,Y,57898,Y,7,0.5283
신독보강호|||검궁인,신독보강호,검궁인,프로무림,2021-02,59,616290,13769,Y,43077,Y,83233,Y,151359,Y,10,0.222
신룡전설|||가람검,신룡전설,가람검,프로무림,2021-02,51,574860,11571,Y,38801,Y,89558,Y,182980,Y,6,0.5386
신마겁|||사마달,신마겁,사마달,프로무림,2021-02,59,583201,9830,Y,24431,Y,70891,Y,122954,Y,9,0.3753
신무의 전설|||강태산,신무의 전설,강태산,프로무림,2021-02,43,85120,3360,Y,4830,Y,13090,Y,29960,Y,1,1.0
신비대형|||내가위,신비대형,내가위,프로무림,2021-02,55,163082,1676,Y,6680,Y,18515,Y,31277,Y,5,0.5247
신의 제국|||이원호,신의 제국,이원호,프로무림,2021-02,27,128700,900,Y,3900,Y,25800,Y,54600,Y,5,0.4396
신의 조각|||송재일,신의 조각,송재일,포텐,2021-02,57,3465328,190547,Y,343044,Y,482112,Y,1153511,Y,14,0.2834
신전을 털어라|||형상준,신전을 털어라,형상준,프로무림,2021-02,43,273320,13450,Y,31900,Y,58457,Y,92049,Y,5,0.4654
신출귀몰|||강태산,신출귀몰,강태산,프로무림,2021-02,59,489786,12275,Y,39694,Y,75184,Y,131663,Y,4,0.8289
신품무제|||제갈천,신품무제,제갈천,프로무림,2021-02,59,1038031,13785,Y,47298,Y,125136,Y,242269,Y,7,0.2696
신풍귀도|||사마달,신풍귀도,사마달,프로무림,2021-02,59,825632,11591,Y,30613,Y,92085,Y,157114,Y,11,0.2292
