=== Genre Library Builder 시작: 2026-02-04T17:15:49.807264 ===
작품 수: 10

[ 1728.4s] 재벌 총수           | 추출중      |  51% |  23블록 | Block 24/64
[ 1739.9s] 마법배             | 추출중      |  43% |  20블록 | Block 21/91
[ 1746.8s] 재첫              | 추출중      |  44% |  17블록 | Block 18/72
[ 1751.7s] 투자백서            | 추출중      |  35% |   6블록 | Block 7/72
[ 1756.5s] 회몰투             | 추출중      |  49% |  19블록 | Block 20/59
[ 1758.2s] 1980독식재         | 추출중      |  61% |  23블록 | Block 24/44
[ 1770.1s] 복수재벌            | 추출중      |  55% |  16블록 | Block 17/38
[ 1771.3s] 악당 재벌           | 추출중      |  63% |  19블록 | Block 20/34
[ 1774.9s] 재벌 총수           | 추출중      |  52% |  24블록 | Block 25/64
[ 1779.1s] 불행재벌            | 추출중      |  47% |  18블록 | Block 19/63
[ 1784.5s] 마법배             | 추출중      |  43% |  21블록 | Block 22/91
[ 1791.0s] 재첫              | 추출중      |  45% |  18블록 | Block 19/72
[ 1794.9s] 1980독식재         | 추출중      |  62% |  24블록 | Block 25/44
[ 1796.4s] 독3              | 추출중      |  30% |   0블록 | 151개 블록 추출 시작
[ 1796.4s] 독3              | 추출중      |  30% |   0블록 | Block 1/151
[ 1801.4s] 회몰투             | 추출중      |  50% |  20블록 | Block 21/59
[ 1818.4s] 복수재벌            | 추출중      |  56% |  17블록 | Block 18/38
[ 1824.8s] 재벌 총수           | 추출중      |  53% |  25블록 | Block 26/64
[ 1827.3s] 불행재벌            | 추출중      |  48% |  19블록 | Block 20/63
[ 1829.3s] 악당 재벌           | 추출중      |  65% |  20블록 | Block 21/34
[ 1834.4s] 마법배             | 추출중      |  44% |  22블록 | Block 23/91
[ 1838.2s] 투자백서            | 추출중      |  35% |   7블록 | Block 8/72
[ 1838.6s] 독3              | 추출중      |  30% |   1블록 | Block 2/151
[ 1841.7s] 1980독식재         | 추출중      |  64% |  25블록 | Block 26/44
[ 1847.9s] 재첫              | 추출중      |  45% |  19블록 | Block 20/72
[ 1863.8s] 회몰투             | 추출중      |  51% |  21블록 | Block 22/59
[ 1866.0s] 복수재벌            | 추출중      |  58% |  18블록 | Block 19/38
[ 1872.7s] 악당 재벌           | 추출중      |  67% |  21블록 | Block 22/34
[ 1879.0s] 불행재벌            | 추출중      |  49% |  20블록 | Block 21/63
[ 1880.0s] 재벌 총수           | 추출중      |  54% |  26블록 | Block 27/64
[ 1885.0s] 마법배             | 추출중      |  45% |  23블록 | Block 24/91
[ 1885.9s] 1980독식재         | 추출중      |  65% |  26블록 | Block 27/44
[ 1887.3s] 투자백서            | 추출중      |  36% |   8블록 | Block 9/72
[ 1890.8s] 재첫              | 추출중      |  46% |  20블록 | Block 21/72
[ 1908.6s] 독3              | 추출중      |  30% |   2블록 | Block 3/151
[ 1916.0s] 악당 재벌           | 추출중      |  68% |  22블록 | Block 23/34
[ 1919.7s] 회몰투             | 추출중      |  52% |  22블록 | Block 23/59
[ 1922.6s] 재벌 총수           | 추출중      |  55% |  27블록 | Block 28/64
[ 1923.0s] 복수재벌            | 추출중      |  60% |  19블록 | Block 20/38
[ 1928.8s] 재첫              | 추출중      |  47% |  21블록 | Block 22/72
[ 1929.5s] 불행재벌            | 추출중      |  50% |  21블록 | Block 22/63
[ 1930.9s] 1980독식재         | 추출중      |  66% |  27블록 | Block 28/44
[ 1936.0s] 투자백서            | 추출중      |  37% |   9블록 | Block 10/72
